# 横轴数据,元数据,平滑后数据,基线,扣除基线后数据
5.041098000000000212e+01,7.017839999999999634e+01,6.979268816770188266e+01,5.698864016047275527e+01,1.280404800722912739e+01
5.233944999999999936e+01,6.975842000000000098e+01,6.906701801242239469e+01,5.686059969157370375e+01,1.220641832084869094e+01
5.426791999999999661e+01,6.657198999999999955e+01,6.829635219590481654e+01,5.673255922267465223e+01,1.156379297323016431e+01
5.619637999999999778e+01,6.674512000000000000e+01,6.749010320445387379e+01,5.660451875377560782e+01,1.088558445067826597e+01
5.812485000000000213e+01,6.699038000000000181e+01,6.665768352437422095e+01,5.647647828487656341e+01,1.018120523949765754e+01
6.005331999999999937e+01,6.671881999999999380e+01,6.580850564197058361e+01,5.634843781597751899e+01,9.460067825993064616e+00
6.198178000000000054e+01,6.646085999999999672e+01,6.495198204354764471e+01,5.622039734707848169e+01,8.731584696469163021e+00
6.391024999999999778e+01,6.369357999999999720e+01,6.409752521541010140e+01,5.609235687817943017e+01,8.005168337230671227e+00
6.583871000000000606e+01,6.225712999999999653e+01,6.325454764386264372e+01,5.596431640928038576e+01,7.290231234582257969e+00
6.776717999999999620e+01,6.192271000000000214e+01,6.243246181520997595e+01,5.583627594038134134e+01,6.596185874828634610e+00
6.969565000000000055e+01,6.189479999999999649e+01,6.164068021575583600e+01,5.570823547148229693e+01,5.932444744273539072e+00
7.162411000000000172e+01,6.128497999999999735e+01,6.093067469434362238e+01,5.558019500258324541e+01,5.350479691760376966e+00
7.355258000000000607e+01,6.050728999999999758e+01,6.042771369728576047e+01,5.545215453368420100e+01,4.975559163601559476e+00
7.548104999999999620e+01,5.973169000000000040e+01,5.979796544295429328e+01,5.532411406478514948e+01,4.473851378169143800e+00
7.740952000000000055e+01,5.873322999999999894e+01,5.915430411572318548e+01,5.519607359588610507e+01,3.958230519837080408e+00
7.933798000000000172e+01,5.758879000000000303e+01,5.860195466819131127e+01,5.506803312698706065e+01,3.533921541204250616e+00
8.126645000000000607e+01,5.735690999999999917e+01,5.821474455704389328e+01,5.493999265808801624e+01,3.274751898955877039e+00
8.319491999999999621e+01,5.878520000000000323e+01,5.795217513239532536e+01,5.481195218918895762e+01,3.140222943206367745e+00
8.512337999999999738e+01,5.828808999999999685e+01,5.757954000980624443e+01,5.468391172028990610e+01,2.895628289516338327e+00
8.705185000000000173e+01,5.688996999999999815e+01,5.716082945733811727e+01,5.455587125139085458e+01,2.604958205947262684e+00
8.898032000000000608e+01,5.738685999999999865e+01,5.679834334422926645e+01,5.442783078249180306e+01,2.370512561737463386e+00
9.090877999999999304e+01,5.749329000000000178e+01,5.649445900294127654e+01,5.429979031359275155e+01,2.194668689348524993e+00
9.283724999999999739e+01,5.565505999999999887e+01,5.613698958809982287e+01,5.417174984469371424e+01,1.965239743406108630e+00
9.476572000000000173e+01,5.476169999999999760e+01,5.569716492971474509e+01,5.404370937579466272e+01,1.653455553920082366e+00
9.669418000000000291e+01,5.545712000000000330e+01,5.523958498855751031e+01,5.391566890689562541e+01,1.323916081661884903e+00
9.862264999999999304e+01,5.558003999999999678e+01,5.486174867603708094e+01,5.378762843799659521e+01,1.074120238040485731e+00
1.005511000000000053e+02,5.444145000000000323e+01,5.447493401111390199e+01,5.364884521509941351e+01,8.260887960144884801e-01
1.024796000000000049e+02,5.390138000000000318e+01,5.402015894082950354e+01,5.350178319114564829e+01,5.183757496838552470e-01
1.044081000000000046e+02,5.375426999999999822e+01,5.363229713304919244e+01,5.334951061643612746e+01,2.827865166130649754e-01
1.063365000000000009e+02,5.340216000000000207e+01,5.330891549199002100e+01,5.319438955734143804e+01,1.145259346485829610e-01
1.082650000000000006e+02,5.241832999999999743e+01,5.300044589081317525e+01,5.303811340503030181e+01,-3.766751421712655201e-02
1.101935000000000002e+02,5.163304999999999723e+01,5.270540243543561587e+01,5.288221760435818908e+01,-1.768151689225732071e-01
1.121218999999999966e+02,5.201621999999999701e+01,5.248828687806391713e+01,5.272810913122106058e+01,-2.398222531571434502e-01
1.140503999999999962e+02,5.304596999999999696e+01,5.226473486760298215e+01,5.257642512528011025e+01,-3.116902576771281019e-01
1.159788999999999959e+02,5.351458000000000226e+01,5.197649944753108286e+01,5.242789306407195937e+01,-4.513936165408765078e-01
1.179073000000000064e+02,5.205440999999999718e+01,5.180831117685438869e+01,5.228393166409185255e+01,-4.756204872374638626e-01
1.198358000000000061e+02,5.082665000000000077e+01,5.172414677999266530e+01,5.214478509614332324e+01,-4.206383161506579427e-01
1.217643000000000058e+02,5.106575000000000131e+01,5.163799614252943826e+01,5.200989129749007844e+01,-3.718951549606401841e-01
1.236927000000000021e+02,5.194402000000000186e+01,5.157842536122836208e+01,5.187875315383637798e+01,-3.003277926080158977e-01
1.256212000000000018e+02,5.157453000000000287e+01,5.150383978751146685e+01,5.175064363133948575e+01,-2.468038438280188984e-01
1.275497000000000014e+02,5.049797999999999831e+01,5.141799705459220604e+01,5.162502017651045350e+01,-2.070231219182474547e-01
1.294781000000000120e+02,5.136088999999999771e+01,5.122520970251638062e+01,5.150148021062519632e+01,-2.762705081088157044e-01
1.314065999999999974e+02,5.162707999999999942e+01,5.096183640732186859e+01,5.138072247107523793e+01,-4.188860637533693421e-01
1.333351000000000113e+02,5.083556000000000097e+01,5.078530338672690192e+01,5.126419041303365276e+01,-4.788870263067508404e-01
1.352634999999999934e+02,5.127814999999999657e+01,5.071938625040785098e+01,5.115249216935952603e+01,-4.331059189516750507e-01
1.371920000000000073e+02,5.090738999999999947e+01,5.068409684537352433e+01,5.104516188952889877e+01,-3.610650441553744372e-01
1.391204999999999927e+02,5.072243000000000279e+01,5.059338426283021306e+01,5.094146866709149180e+01,-3.480844042612787348e-01
1.410489000000000033e+02,5.028594999999999970e+01,5.045711070284329480e+01,5.084128050750243233e+01,-3.841698046591375260e-01
1.429773999999999887e+02,4.958035000000000281e+01,5.033512686171874861e+01,5.074496213070707284e+01,-4.098352689883242306e-01
